,item_id,name,category,price,old_price,sellable_online,link,other_colors,short_description,designer,depth,height,width
0,90420332,FREKVENS,Bar furniture,265.0,No old price,True,https://www.ikea.com/sa/en/p/frekvens-bar-table-in-outdoor-black-90420332/,No,"        Bar table, in/outdoor,          51x51 cm",Nicholai Wiig Hansen,,99,51
1,368814,NORDVIKEN,Bar furniture,995.0,No old price,False,https://www.ikea.com/sa/en/p/nordviken-bar-table-black-00368814/,No,"        Bar table,          140x80 cm",Francis Cayouette,,105,80
2,9333523,NORDVIKEN / NORDVIKEN,Bar furniture,2095.0,No old price,False,https://www.ikea.com/sa/en/p/nordviken-nordviken-bar-table-and-4-bar-stools-black-black-s09333523/,No,        Bar table and 4 bar stools,Francis Cayouette,,,
3,80155205,STIG,Bar furniture,69.0,No old price,True,https://www.ikea.com/sa/en/p/stig-bar-stool-with-backrest-black-silver-colour-80155205/,Yes,"        Bar stool with backrest,          74 cm",Henrik Preutz,50,100,60
4,30180504,NORBERG,Bar furniture,225.0,No old price,True,https://www.ikea.com/sa/en/p/norberg-wall-mounted-drop-leaf-table-white-30180504/,No,"        Wall-mounted drop-leaf table,          74x60 cm",Marcus Arvonen,60,43,74
5,10122647,INGOLF,Bar furniture,345.0,No old price,True,https://www.ikea.com/sa/en/p/ingolf-bar-stool-with-backrest-white-10122647/,No,"        Bar stool with backrest,          63 cm",Carina Bengs,45,91,40
6,70404875,FRANKLIN,Bar furniture,129.0,No old price,True,https://www.ikea.com/sa/en/p/franklin-bar-stool-with-backrest-foldable-white-white-70404875/,No,"        Bar stool with backrest, foldable,          63 cm",K Hagberg/M Hagberg,44,95,50
7,60155602,DALFRED,Bar furniture,195.0,No old price,True,https://www.ikea.com/sa/en/p/dalfred-bar-stool-black-60155602/,No,"        Bar stool,          63-74 cm",Sarah Fager,50,,50
8,50406465,FRANKLIN,Bar furniture,129.0,No old price,True,https://www.ikea.com/sa/en/p/franklin-bar-stool-with-backrest-foldable-black-black-50406465/,No,"        Bar stool with backrest, foldable,          63 cm",K Hagberg/M Hagberg,44,95,50
9,69304221,EKEDALEN / EKEDALEN,Bar furniture,2176.0,"SR 2,375",True,https://www.ikea.com/sa/en/p/ekedalen-ekedalen-bar-table-and-4-bar-stools-dark-brown-orrsta-light-grey-s69304221/,No,        Bar table and 4 bar stools,Ehlén Johansson,,,
10,90404879,FRANKLIN,Bar furniture,149.0,No old price,True,https://www.ikea.com/sa/en/p/franklin-bar-stool-with-backrest-foldable-white-white-90404879/,No,"        Bar stool with backrest, foldable,          74 cm",K Hagberg/M Hagberg,44,103,52
11,121766,INGOLF,Bar furniture,395.0,No old price,True,https://www.ikea.com/sa/en/p/ingolf-bar-stool-with-backrest-white-00121766/,No,"        Bar stool with backrest,          74 cm",Carina Bengs,45,102,40
12,397736,NORRARYD,Bar furniture,395.0,No old price,True,https://www.ikea.com/sa/en/p/norraryd-bar-stool-with-backrest-black-00397736/,No,"        Bar stool with backrest,          74 cm",Nike Karlsson,47,103,46
13,50420329,FREKVENS,Bar furniture,177.0,SR 295,True,https://www.ikea.com/sa/en/p/frekvens-bar-stool-with-backrest-in-outdoor-black-50420329/,No,"        Bar stool with backrest, in/outdoor,          74 cm",Nicholai Wiig Hansen,53,104,43
14,400550,EKEDALEN,Bar furniture,345.0,No old price,True,https://www.ikea.com/sa/en/p/ekedalen-bar-stool-with-backrest-brown-orrsta-light-grey-00400550/,No,"        Bar stool with backrest,          75 cm",Ehlén Johansson,52,114,43
15,29304826,TOMMARYD,Bar furniture,695.0,No old price,True,https://www.ikea.com/sa/en/p/tommaryd-table-anthracite-s29304826/,No,"        Table,          130x70/105 cm",Maja Ganszyniec,,105,70
16,40426138,HENRIKSDAL,Bar furniture,395.0,No old price,True,https://www.ikea.com/sa/en/p/henriksdal-bar-stool-with-backrest-frame-dark-brown-40426138/,No,"        Bar stool with backrest frame,          74 cm",Karl Malmvall,51,102,40
17,50363649,KULLABERG,Bar furniture,140.0,SR 175,True,https://www.ikea.com/sa/en/p/kullaberg-stool-black-50363649/,Yes,        Stool,Sarah Fager,36,,36
